Case_ID,Timestamp,Activity
case_id237853973,2024-10-01T23:13:10+01:00,c
case_id237853973,2024-10-01T23:13:10+01:00,D
case_id237853973,2024-10-01T23:13:10+01:00,f
case_id237853973,2024-10-01T23:13:10+01:00,K
case_id237853973,2024-10-01T23:13:10+01:00,E
case_id237853973,2024-10-01T23:13:10+01:00,A
case_id581585620,2024-10-01T23:13:10+01:00,b
case_id581585620,2024-10-01T23:13:10+01:00,f
case_id581585620,2024-10-01T23:13:10+01:00,d
case_id581585620,2024-10-01T23:13:10+01:00,e
case_id581585620,2024-10-01T23:13:10+01:00,g
case_id581585620,2024-10-01T23:13:10+01:00,c
case_id581585620,2024-10-01T23:13:10+01:00,F
case_id581585620,2024-10-01T23:13:10+01:00,a
case_id581585620,2024-10-01T23:13:10+01:00,D
case_id581585620,2024-10-01T23:13:10+01:00,K
case_id581585620,2024-10-01T23:13:10+01:00,E
case_id581585620,2024-10-01T23:13:10+01:00,A
case_id493187420,2024-10-01T23:13:10+01:00,g
case_id493187420,2024-10-01T23:13:10+01:00,d
case_id493187420,2024-10-01T23:13:10+01:00,a
case_id493187420,2024-10-01T23:13:10+01:00,e
case_id493187420,2024-10-01T23:13:10+01:00,b
case_id493187420,2024-10-01T23:13:10+01:00,F
case_id493187420,2024-10-01T23:13:10+01:00,D
case_id493187420,2024-10-01T23:13:10+01:00,f
case_id493187420,2024-10-01T23:13:10+01:00,c
case_id493187420,2024-10-01T23:13:10+01:00,K
case_id493187420,2024-10-01T23:13:10+01:00,E
case_id493187420,2024-10-01T23:13:10+01:00,A
case_id1648573325,2024-10-01T23:13:10+01:00,g
case_id1648573325,2024-10-01T23:13:10+01:00,a
case_id1648573325,2024-10-01T23:13:10+01:00,e
case_id1648573325,2024-10-01T23:13:10+01:00,f
case_id1648573325,2024-10-01T23:13:10+01:00,F
case_id1648573325,2024-10-01T23:13:10+01:00,d
case_id1648573325,2024-10-01T23:13:10+01:00,D
case_id1648573325,2024-10-01T23:13:10+01:00,K
case_id1648573325,2024-10-01T23:13:10+01:00,b
case_id1648573325,2024-10-01T23:13:10+01:00,E
case_id1648573325,2024-10-01T23:13:10+01:00,A
case_id918665036,2024-10-01T23:13:10+01:00,e
case_id918665036,2024-10-01T23:13:10+01:00,b
case_id918665036,2024-10-01T23:13:10+01:00,F
case_id918665036,2024-10-01T23:13:10+01:00,f
case_id918665036,2024-10-01T23:13:10+01:00,a
case_id918665036,2024-10-01T23:13:10+01:00,D
case_id918665036,2024-10-01T23:13:10+01:00,c
case_id918665036,2024-10-01T23:13:10+01:00,g
case_id918665036,2024-10-01T23:13:10+01:00,K
case_id918665036,2024-10-01T23:13:10+01:00,d
case_id918665036,2024-10-01T23:13:10+01:00,E
case_id918665036,2024-10-01T23:13:10+01:00,A
case_id478503973,2024-10-01T23:13:10+01:00,a
case_id478503973,2024-10-01T23:13:10+01:00,e
case_id478503973,2024-10-01T23:13:10+01:00,c
case_id478503973,2024-10-01T23:13:10+01:00,f
case_id478503973,2024-10-01T23:13:10+01:00,d
case_id478503973,2024-10-01T23:13:10+01:00,D
case_id478503973,2024-10-01T23:13:10+01:00,F
case_id478503973,2024-10-01T23:13:10+01:00,g
case_id478503973,2024-10-01T23:13:10+01:00,b
case_id478503973,2024-10-01T23:13:10+01:00,K
case_id478503973,2024-10-01T23:13:10+01:00,E
case_id478503973,2024-10-01T23:13:10+01:00,A
case_id580069170,2024-10-01T23:13:10+01:00,a
case_id580069170,2024-10-01T23:13:10+01:00,g
